Moeda,Data,Alta,Baixa,Abertura,Fechamento,Volume,Marketcap
Aave,2020-11-20,82.17322523,74.68948917,75.85718441,75.06539972,260578165.49533343,888309702.5449907
Aave,2020-11-21,76.89173349,67.79606731,75.06539968,70.42424685,237984829.20010588,833647262.7056857
Aave,2020-11-22,74.6597895,63.29912732,70.4242469,68.42477869,209068686.3780854,811198457.4282078
Aave,2020-11-23,73.77057074,65.73764591,68.42478443,71.83861244,220212896.1199827,852034424.5073861
Aave,2020-11-24,74.38013135,66.27866009,71.85567173,66.73867871,193004081.17873785,792032288.2378324
Aave,2020-11-25,67.45255654,59.55788547,66.71556336,61.80533895,154888752.21671736,733874939.2967753
Aave,2020-11-26,65.09772852,50.38421932,61.81669679,63.99345248,282502058.4653289,760506808.6507189
Aave,2020-11-27,68.66542935,56.65032306,64.00578618,60.73871861,201844805.75607985,722139363.7789521
Aave,2020-11-28,66.20104081,58.979246,60.74922406,63.94728703,150605043.44521672,760508853.1865296
Aave,2020-11-29,69.56144009,62.04129627,63.94875712,68.85312443,161791286.30746406,819035970.4519866
Aave,2020-11-30,79.46509408,68.85644439,68.85644439,76.41953515,288079549.86705697,909941093.0031154
Aave,2020-12-01,78.86189102,70.94403421,76.42472206,74.86836458,268968536.9296152,891921515.9888393
Aave,2020-12-02,89.93801025,72.4543506,74.8611544,86.32324982,410949897.5495344,1029525776.0385628
Aave,2020-12-03,94.06976137,83.21397488,86.38082732,91.67564477,390370348.3556075,1093762156.9254584
Aave,2020-12-04,92.73576711,80.18386018,91.68452862,81.6418197,344330864.1263516,974344644.041474
Aave,2020-12-05,91.92059987,79.94649654,81.58988912,91.92059987,321071928.23277366,1097810892.1516194
Aave,2020-12-06,92.73346394,84.95069045,91.94666405,87.95642649,261643152.7839865,1051203168.980594
Aave,2020-12-07,94.70016225,86.90958728,87.95654066,90.9602979,299145687.7401658,1087477655.8333125
Aave,2020-12-08,91.09876956,78.20985346,90.95032482,79.94619074,376267574.7847037,956117556.491354
Aave,2020-12-09,86.12544951,75.09706845,79.92281871,82.11372218,357447823.9545926,982942929.9949716
Aave,2020-12-10,83.05117464,75.8590325,82.18282288,76.64575648,299977126.99674493,917596922.5460534
Aave,2020-12-11,78.34898133,70.70723382,76.62523273,74.72982934,314260628.56666005,894777251.8971121
Aave,2020-12-12,79.99834299,74.64877724,74.68163358,77.55488043,228308571.77371025,928807400.9458116
Aave,2020-12-13,84.64911414,76.92843287,77.58847305,83.42745942,269018776.9246724,999380433.358915
Aave,2020-12-14,90.85681018,79.78814542,83.45492245,86.14011813,309773536.51004165,1032112150.701743
Aave,2020-12-15,88.7453422,84.62607976,86.15458046,87.25809436,288078630.12110555,1045770157.8973216
Aave,2020-12-16,89.48084257,80.96540248,87.22501124,87.23005839,368950333.1915783,1045506379.575309
Aave,2020-12-17,89.47445661,83.34012744,87.23298911,85.08382773,361404899.28428113,1019961551.3521832
Aave,2020-12-18,89.77304202,82.84064623,85.09337071,89.77007385,254960310.8344537,1076525471.5506575
Aave,2020-12-19,96.06858373,88.96400336,89.83129712,89.01304208,357204770.5456118,1067684335.4318194
